detail_id,favorite_food,feeding_frequency,aggressive
1,White-faced tree rat,Weekly,1
2,"Lizard, goanna",Seldom,0
3,Indian red admiral,Weekly,1
4,"Bandicoot, southern brown",Often,0
5,"Kangaroo, red",Once,0
6,"Phascogale, brush-tailed",Monthly,0
7,Bohor reedbuck,Monthly,1
8,"Gonolek, burchell's",Seldom,1
9,Black-crowned crane,Never,1
10,"Bee-eater, white-fronted",Yearly,1
11,"Squirrel, smith's bush",Never,1
12,Swainson's francolin,Often,0
13,"Echidna, short-beaked",Yearly,1
14,"Lemming, collared",Weekly,1
15,"Caiman, spectacled",Seldom,0
16,"Penguin, galapagos",Often,0
17,Whip-tailed wallaby,Weekly,1
18,Onager,Once,0
19,Sage grouse,Once,0
20,"Lemur, ring-tailed",Daily,0
21,"Otter, canadian river",Seldom,1
22,Anaconda (unidentified),Seldom,0
23,Wild water buffalo,Seldom,1
24,Eastern quoll,Never,1
25,Blue and gold macaw,Daily,0
26,Vine snake (unidentified),Often,0
27,"Fox, arctic",Weekly,1
28,"Owl, great horned",Weekly,1
29,White-necked raven,Daily,0
30,"Dove, galapagos",Seldom,1
31,White-throated monitor,Once,0
32,"Squirrel, red",Monthly,0
33,"Waterbuck, common",Often,1
34,Barking gecko,Once,1
35,"Kangaroo, jungle",Daily,0
36,"Boa, emerald green tree",Yearly,1
37,Brown brocket,Yearly,1
38,Yellow-rumped siskin,Yearly,1
39,Collared peccary,Monthly,1
40,Eagle owl (unidentified),Never,0
41,Meerkat,Yearly,0
42,Sable antelope,Daily,0
43,"Falcon, prairie",Often,0
44,Asian red fox,Monthly,1
45,Bohor reedbuck,Monthly,1
46,"Grouse, sage",Weekly,0
47,Yellow-brown sungazer,Weekly,0
48,African darter,Monthly,1
49,Helmeted guinea fowl,Often,1
50,"Booby, blue-footed",Seldom,1
51,"Penguin, magellanic",Once,1
52,Water legaan,Daily,0
53,White rhinoceros,Seldom,1
54,Magellanic penguin,Often,0
55,Eastern dwarf mongoose,Daily,0
56,"Crane, brolga",Seldom,0
57,Oriental short-clawed otter,Weekly,1
58,Blue duck,Weekly,0
59,"Cat, long-tailed spotted",Once,1
60,"Wallaby, dama",Seldom,1
61,Thirteen-lined squirrel,Seldom,1
62,White-bellied sea eagle,Daily,0
63,"Duck, comb",Seldom,0
64,"Duck, mountain",Yearly,0
65,European red squirrel,Often,1
66,"Admiral, indian red",Seldom,1
67,Greater kudu,Seldom,0
68,"Heron, green-backed",Once,1
69,Pampa gray fox,Monthly,0
70,Great kiskadee,Often,0
71,Red-necked phalarope,Weekly,0
72,"Dolphin, common",Yearly,1
73,"Caiman, spectacled",Seldom,1
74,Mudskipper (unidentified),Daily,1
75,Levaillant's barbet,Daily,0
76,"Hartebeest, coke's",Seldom,1
77,Crown of thorns starfish,Once,1
78,Mandras tree shrew,Weekly,0
79,Brush-tailed phascogale,Once,1
80,"Gull, dusky",Monthly,1
81,Sidewinder,Once,1
82,"Dragon, netted rock",Weekly,1
83,Common seal,Yearly,1
84,"Coot, red-knobbed",Yearly,0
85,Madagascar hawk owl,Yearly,1
86,"Lizard, blue-tongued",Daily,1
87,Antelope ground squirrel,Weekly,1
88,"Nutcracker, clark's",Weekly,1
89,Roan antelope,Monthly,1
90,"Cat, kaffir",Never,1
91,Horned lark,Weekly,0
92,"Polecat, african",Daily,0
93,"Dragon, ornate rock",Yearly,0
94,Bent-toed gecko,Yearly,1
95,Asian 0 vampire bat,Yearly,0
96,Blue catfish,Yearly,0
97,"Wallaby, bennett's",Weekly,0
98,"Swan, black",Often,0
99,"Squirrel, palm",Never,0
100,Brolga crane,Daily,0
101,"Deer, savannah",Seldom,0
102,"Squirrel, uinta ground",Weekly,1
103,Fairy penguin,Monthly,1
104,Grey-footed squirrel,Yearly,0
105,Two-banded monitor,Monthly,0
106,"Fox, savanna",Weekly,0
107,Coyote,Daily,1
108,"Antelope, four-horned",Monthly,1
109,Collared peccary,Daily,0
110,"Zorro, azara's",Yearly,1
111,Puma,Weekly,1
112,Black-faced kangaroo,Daily,0
113,Striated heron,Yearly,1
114,Mandras tree shrew,Daily,1
115,Cheetah,Daily,0
